City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
78,Katsuura,JP,2022-01-22 23:13:20,35.1333,140.3,41.18,58,93,8.86
79,Avera,US,2022-01-22 23:13:20,33.194,-82.5271,40.87,84,44,1.3
80,Cidreira,BR,2022-01-22 23:11:14,-30.1811,-50.2056,77.45,86,6,20.94
81,Juneau,US,2022-01-22 23:13:20,58.3019,-134.4197,40.21,96,100,8.01
82,Upernavik,GL,2022-01-22 23:13:21,72.7868,-56.1549,-10.25,65,87,7.31
83,Kozmodemyansk,RU,2022-01-22 23:13:21,56.3367,46.5711,18.43,97,100,3.42
84,Vardo,NO,2022-01-22 23:13:21,70.3705,31.1107,27.93,83,100,36.44
85,Castro,BR,2022-01-22 23:13:22,-24.7911,-50.0119,72.48,74,80,2.91
86,Severo-Kurilsk,RU,2022-01-22 23:13:22,50.6789,156.125,27.77,73,85,16.69
87,Atuona,PF,2022-01-22 23:13:22,-9.8,-139.0333,79.03,72,52,19.33
88,Mar Del Plata,AR,2022-01-22 23:13:22,-38.0023,-57.5575,71.87,93,100,2.3
89,Longyearbyen,SJ,2022-01-22 23:13:23,78.2186,15.6401,31.84,64,20,10.36
90,Cape Town,ZA,2022-01-22 23:12:07,-33.9258,18.4232,83.12,58,59,1.99
91,Omboue,GA,2022-01-22 23:13:23,-1.5746,9.2618,77.13,90,99,8.9
92,Hithadhoo,MV,2022-01-22 23:14:23,-0.6,73.0833,82.56,68,52,16.91
93,Pevek,RU,2022-01-22 23:11:32,69.7008,170.3133,-30.95,93,100,6.87
94,Arraial Do Cabo,BR,2022-01-22 23:14:24,-22.9661,-42.0278,76.26,83,2,17.49
95,Fort Nelson,CA,2022-01-22 23:14:24,58.8053,-122.7002,24.03,96,98,1.72
96,New Norfolk,AU,2022-01-22 23:14:24,-42.7826,147.0587,78.66,42,65,2.33
97,Airai,TL,2022-01-22 23:14:24,-8.9266,125.4092,63.37,82,99,2.46
98,Kafanchan,NG,2022-01-22 23:14:25,9.5833,8.3,67.82,23,3,7.54
99,Lagoa,PT,2022-01-22 23:14:25,39.05,-27.9833,58.08,61,100,7.58
100,Roma,US,2022-01-22 23:14:25,43.2128,-75.4557,24.66,53,0,4.61
101,Tukan,RU,2022-01-22 23:14:26,53.8409,57.4552,0.5,100,97,2.73
102,Mazagao,BR,2022-01-22 23:14:26,-0.115,-51.2894,84.25,88,54,4.54
