City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Santa Lucia,ES,27.9117,-15.5407,52.92,72,0,3.44,clear sky
233,Komsomolets,KZ,53.7453,62.0708,-10.84,99,99,2.55,overcast clouds
234,Upernavik,GL,72.7868,-56.1549,-11.56,64,71,5.21,broken clouds
235,Barrow,US,71.2906,-156.7887,-3.98,77,100,20.71,haze
236,Margate,GB,51.3813,1.3862,42.31,83,64,0.81,broken clouds
237,Griffith,US,41.5284,-87.4237,26.55,57,100,5.01,overcast clouds
238,Myitkyina,MM,25.3833,97.4,60.75,77,14,2.82,few clouds
239,Finschhafen,PG,-6.6024,147.8681,85.96,72,50,11.3,scattered clouds
240,Poladpur,IN,17.9802,73.466,72.14,68,98,1.01,overcast clouds
241,Port Elizabeth,ZA,-33.918,25.5701,72.1,88,0,16.11,clear sky
242,Quesnel,CA,52.9999,-122.5029,28.9,93,100,3.44,overcast clouds
243,Walvis Bay,Namibia,-22.9575,14.5053,73.09,83,86,5.75,overcast clouds
244,Ballangen,NO,68.3428,16.8315,41.22,60,75,13.8,light rain
245,Palmer,US,42.1584,-72.3287,19.85,76,89,3.02,overcast clouds
246,Lazarev,RU,52.225,141.5131,6.35,77,29,5.44,scattered clouds
247,Khilok,RU,51.3674,110.4676,7.5,90,100,1.72,light snow
248,The Valley,AI,18.217,-63.0578,77.09,67,0,15.48,clear sky
249,Ilulissat,GL,69.2167,-51.1,-11.88,70,7,10.74,clear sky
250,Qiongshan,CN,20.0058,110.3542,75.18,88,40,6.71,scattered clouds
251,Umm Lajj,SA,25.0213,37.2685,62.83,57,0,10.67,clear sky
252,Montagnana,IT,45.2287,11.4635,36.64,74,83,7.18,broken clouds
253,Gat,IL,31.61,34.7642,51.4,100,2,10.94,clear sky
254,Biak,ID,-0.9131,122.8766,84.45,65,76,2.24,broken clouds
255,Lasa,IT,46.6166,10.7002,33.3,91,35,7.23,scattered clouds
256,Port Lincoln,AU,-34.7333,135.8667,76.48,72,100,3.96,overcast clouds
257,Ranong,TH,9.9658,98.6348,78.73,62,35,1.1,scattered clouds
258,Shelburne,CA,44.0787,-80.2041,18.59,91,93,17.43,overcast clouds
259,Lidkoping,SE,58.5052,13.1577,33.82,3,100,4.43,overcast clouds
260,Miri,MY,4.4148,114.0089,86.14,70,40,1.14,scattered clouds
261,Ponta Delgada,PT,37.7333,-25.6667,58.5,62,75,5.75,broken clouds
